record - leader,record - leader 1,record - leader 2,record - leader 3,001,001 1,001 2,008,008 1,008 2,008 3,008 4,008 5,008 6,008 6 1,008 6 2,035,035 2 $ $ $,035 2 $ $ $ 1,035 2 $ $ $ 2,035 3 $ $ $,035 4 $ $ $,035 4 $ $ $ 1,035 4 $ $ $ 2 Language of cataloging varies,035 5 $ $ $,040,040 2,040 3,040 4,245,245 1,245 organization,245 2,245 Author,245 2 1,245 publisher,245 unkown number,245 3,260,260 1,260 2,260 2 1,260 2 1 1,260 2 location,260 location,260 2 unknwon,260 2 unknown,260 3,260 orgnization,260 4 time,260 time 1 1,260 time,260 5,260 5 1,260 e,260 6,260 6 1,260 6 2,260 7,260 7 2 redundant information,310 1,310 2,310 3,310 4,310 5,310 6,336,337,338,653,264,264 1,264 2,264 2 1 time,264 2 2,264 2 2 1,264 2 2 2 organization,264 2 2 3 time,264 3,264 3 1 time,264 3 2,264 3 2 1,264 3 2 2,264 3 2 3,264 3 2 3 1 time,264 3 2 3 1 time 2,264 3 2 3 2 location,264 3 2 4,264 3 2 5 time,264 4,264 4 1,264 4 1 1,264 4 1 1 2 time,264 4 1 2 location,264 4 2,264 4 2 2 organization,264 4 3,264 4 3 2 time,264 5,264 5 1,264 5 1 2 location,264 5 2 organization,264 5 3 time,264 6,264 7,996,998,650,710,246,246 1,246 2,246 3,246 4,246 5,246 6,246 7,246 8,246 9,246 10,246 11,246 12,500,775,775 1,775 2 start with t,775 3,775 4 start with t,775 5,775 6,775 7,775 8,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58
00818nas  2200229u  4500,818,nas,  2200229u  4500,9913354600101480,99133546,101480,920514d19859999be mr|p||     0|||a|eng c,920514,d,1985,9999,be, mr|p||     0|||a|en, mr|p||     0|||a|,en,^$ $ $a(BeLVLBS)001335460LBS01-Aleph^$ $ $a4243991^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913354600101471,a(BeLVLBS)001335460LBS01-Aleph^,a(BeLVLBS),001335460LBS01-Aleph,a4243991^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913354600101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913354600101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aMigration news sheet : monthly information bulletin on migrants,^$0$0$aMigration news sheet : monthly information bulletin on migrants,Migration news sheet : monthly information bulletin on migrants,,,,,,, refugees and ethnic minorities.$ $ $613086195, refugees and ethnic minorities.,613086195,613086195,613086195,,,,,,,,,,,,,,,,,,^,aBrussels,bChurches committee for migrants in Europe,c[1985]-?,,,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,^$ $7$2KUL$ $ $a#RBIB:TSCAT^$ $7$2KUL$ $ $a#BA01936,^$2$ $aChurches committee for migrants in Europe Brussels$ $ $4oth,^$2$ $aChurches committee for migrants in Europe Brussels,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aCCME briefing papers,,,,,,,,,,,,,,,,,
00732nas  2200229u  4500,732,nas,  2200229u  4500,9913442130101480,99134421,30101480,920615q19831988be qr|p||     0|||a|dut c,920615,q,1983,1988,be, qr|p||     0|||a|du, qr|p||     0|||a|,du,^$ $ $a(BeLVLBS)001344213LBS01-Aleph^$ $ $a4290260^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913442130101471,a(BeLVLBS)001344213LBS01-Aleph^,a(BeLVLBS),001344213LBS01-Aleph,a4290260^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913442130101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913442130101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aGolfslag Lourdeskrant.,^$0$0$aGolfslag Lourdeskrant.,Golfslag Lourdeskrant.,,,,,,,^$ $ $aRoeselare$ $ $bKSA-Noordzeegouw$ $ $c[1983]-[1988],^,aRoeselare,aRoeselare,aRoeselare,aRoeselare,Roeselare,,,bKSA-Noordzeegouw,KSA-Noordzeegouw,c[1983]-[1988],,[1983]-[1988],,,,,,,,,^,aQuarterly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,,^$2$ $aKSA-Jong-Vlaanderen. Noordzeegouw$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aExtra editie van: Golfslag,,,,,,,,^$1$8$w(BeLVLBS)001344186LBS01-Aleph$ $ $tGolfslag$ $ $4772,,,,,,,,,,,,,,,,,,,,,,,,,,
01029nas  2200277u  4500,1029,nas,  2200277u  4500,9913446870101480,99134468,70101480,920616c19819999be qr|p||     0|||a|dut c,920616,c,1981,9999,be, qr|p||     0|||a|du, qr|p||     0|||a|,du,^$ $ $a(BeLVLBS)001344687LBS01-Aleph^$ $ $a4292510^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913446870101471,a(BeLVLBS)001344687LBS01-Aleph^,a(BeLVLBS),001344687LBS01-Aleph,a4292510^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913446870101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913446870101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aAdem-tocht$ $ $bzinvol verder gaan$ $ $613086197,^$0$0$aAdem-tocht,Adem-tocht,bzinvol verder gaan,zinvol verder gaan,,,613086197,613086197,^$ $ $c[1981]-?,^,c[1981]-?,c[1981]-?,,,Brugge,,,,bAdemtocht,,,[1981]-?c[2009]-.[1981]-[2009].,,,,,,,,,^,aQuarterly,bVóór 36(2016/17) : vijf keer per jaar,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$aBrugge$ $ $bAdemtocht$ $ $32009-.^$ $1$aZaventem$ $ $bInterdiocesaan secretariaat van de Gulden leeftijd$ $ $31981-2009.,,aBrugge$ $ $bAdemtocht$ $ $32009-.,,Brugge$ $ $bAdemtocht$ $ $32009-.,Brugge,bAdemtocht,c[2009]-.,aZaventem$ $ $bInterdiocesaan secretariaat van de Gulden leeftijd$ $ $31981-2009.,,Zaventem$ $ $bInterdiocesaan secretariaat van de Gulden leeftijd$ $ $31981-2009.,Zaventem,bInterdiocesaan secretariaat van de Gulden leeftijd,31981-2009.,c[1981]-[2009].,[1981]-[2009].,,,,,,,,,,,,,,,,,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201504$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2UDC$ $ $a25 <05>$ $ $xPastoraaltheologie--Tijdschriften,^$2$ $aGulden leeftijd. Interdiocesaan comité$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,^$1$0$aGulden parel$ $ $g1982-2008^$1$0$a<<De >>gulden leeftijd$ $ $g1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00739nas  2200229u  4500,739,nas,  2200229u  4500,9913452910101480,99134529,10101480,920618q19812002be qr|p||     0|||a|dut c,920618,q,1981,2002,be, qr|p||     0|||a|du, qr|p||     0|||a|,du,^$ $ $a(BeLVLBS)001345291LBS01-Aleph^$ $ $a4295968^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913452910101471,a(BeLVLBS)001345291LBS01-Aleph^,a(BeLVLBS),001345291LBS01-Aleph,a4295968^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913452910101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913452910101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aHartslag.,^$0$0$aHartslag.,Hartslag.,,,,,,,^$ $ $aBrugge$ $ $bMeteco$ $ $c[1981]-[2002],^,aBrugge,aBrugge,aBrugge,aBrugge,Brugge,,,bMeteco,Meteco,c[1981]-[2002],,[1981]-[2002],,,,,,,,,^,aQuarterly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,^$2$ $aMedisch-technische coöperatie. Dorpsgemeenschap Marmelade (Haïti)$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00529nas  2200169u  4500,529,nas,  2200169u  4500,9913473230101480,99134732,30101480,920618q19812002be qr|p||     0|||a|dut c,920618,q,1981,2002,be, qr|p||     0|||a|du, qr|p||     0|||a|,du,^$ $ $a(BeLVLBS)001347323LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913473230101471$ $ $bLanguage of cataloging varies$ $ $erda based,a(BeLVLBS)001347323LBS01-Aleph^,a(BeLVLBS),001347323LBS01-Aleph,a(EXLNZ-32KUL_LIBIS_NETWORK)9913473230101471,bLanguage of cataloging varies,,Language of cataloging varies,erda based,,,,,^$0$0$aImpuls$ $ $binformatieblad voor middenstand en vrije beroepen.,^$0$0$aImpuls,Impuls,binformatieblad voor middenstand en vrije beroepen.,informatieblad voor middenstand en vrije beroepen.,,,,,^$ $ $aMechelen$ $ $bNCMV$ $ $c[1982]-[1983],^,aMechelen,aMechelen,,,,elen,,bNCMV,NCMV,c[1982]-[1983],,[1982]-[1983],,,,,,,,,^,aQuarterly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00907nas  2200265u  4500,907,nas,  2200265u  4500,9913491580101480,99134915,80101480,920702c19819999be qr|p||     0|||a|fre c,920702,c,1981,9999,be, qr|p||     0|||a|fr, qr|p||     0|||a|,fr,^$ $ $a(BeLVLBS)001349158LBS01-Aleph^$ $ $a4318207^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913491580101471,a(BeLVLBS)001349158LBS01-Aleph^,a(BeLVLBS),001349158LBS01-Aleph,a4318207^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913491580101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913491580101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$4$aLes amis du frère Mutien.,^$0$4$aLes amis du frère Mutien.,Les amis du frère Mutien.,,,,,,,,,,,,,,,,,,,,[1981]-,,,,,,,,,^,aQuarterly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1981-^$ $1$aMalonne$ $ $bAmis du frère Mutien-Marie$ $ $31981-,,c1981-,c1981-,,,,,aMalonne$ $ $bAmis du frère Mutien-Marie$ $ $31981-,,Malonne$ $ $bAmis du frère Mutien-Marie$ $ $31981-,Malonne,bAmis du frère Mutien-Marie,31981-,c[1981]-,[1981]-,,,,,,,,,,,,,,,,,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201704$ $ $9local,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aAmis du frère Mutien$ $ $4oth^$2$ $aVrienden van broeder Mutien$ $ $4oth,^$1$1$aDe vrienden van broeder Mutien,^$1$1$aDe vrienden van broeder Mutien,,,,,,,,,,,,^$ $ $aUitgever varieert^$ $ $avanaf (2004)92 opgesplitst in 2 uitgaven: Frans- en Nederlanstalig; Nederlandstalige uitgave zie KYA1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00551nas  2200181u  4500,551,nas,  2200181u  4500,9913502620101480,99135026,20101480,920707d19821984be ur|p||     0|||a|dut c,920707,d,1982,1984,be, ur|p||     0|||a|du, ur|p||     0|||a|,du,^$ $ $a(BeLVLBS)001350262LBS01-Aleph^$ $ $a4325073^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913502620101471,a(BeLVLBS)001350262LBS01-Aleph^,a(BeLVLBS),001350262LBS01-Aleph,a4325073^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913502620101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913502620101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aZiekenzorg-prik.,^$0$0$aZiekenzorg-prik.,Ziekenzorg-prik.,,,,,,,^$ $ $aOostende$ $ $bZiekenzorg CM. Verbond Oostende$ $ $c[1982]-[1984],^,aOostende,aOostende,aOostende,aOostende,Oostende,,,bZiekenzorg CM. Verbond Oostende,Ziekenzorg CM. Verbond Oostende,c[1982]-[1984],,[1982]-[1984],,,,,,,,,^,aUnknown,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00671nas  2200217u  4500,671,nas,  2200217u  4500,9913505730101480,99135057,30101480,920707d19821984be ur|p||     0|||a|dut c,920707,d,1982,1984,be, ur|p||     0|||a|du, ur|p||     0|||a|,du,^$ $ $a(BeLVLBS)001350573LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913505730101471$ $ $bLanguage of cataloging varies$ $ $erda based,a(BeLVLBS)001350573LBS01-Aleph^,a(BeLVLBS),001350573LBS01-Aleph,a(EXLNZ-32KUL_LIBIS_NETWORK)9913505730101471,bLanguage of cataloging varies,,Language of cataloging varies,erda based,,,,,^$0$0$aJeunes Démocrates Chrétiens Européens. Lettre d'information,^$0$0$aJeunes Démocrates Chrétiens Européens. Lettre d'information,Jeunes Démocrates Chrétiens Européens. Lettre d'information,,,,,,,,,,,,,,,,,,,,[1984]-[1997],,,,,,,,,^,aMonthly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1984-1997^$ $1$aBruxelles$ $ $bEYCD-JDCE$ $ $31984-1997,,c1984-1997,c1984-1997,,,,,aBruxelles$ $ $bEYCD-JDCE$ $ $31984-1997,,Bruxelles$ $ $bEYCD-JDCE$ $ $31984-1997,Bruxelles,bEYCD-JDCE,31984-1997,c[1984]-[1997],[1984]-[1997],,,,,,,,,,,,,,,,,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c202104$ $ $9local,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aJDCE$ $ $4oth^$2$ $aEYCD$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00739nas  2200241u  4500,739,nas,  2200241u  4500,9913512390101480,99135123,90101480,920713d19812015be br|p||     0|||a|dut c,920713,d,1981,2015,be, br|p||     0|||a|du, br|p||     0|||a|,du,^$ $ $a(BeLVLBS)001351239LBS01-Aleph^$ $ $a4360452^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913512390101471,a(BeLVLBS)001351239LBS01-Aleph^,a(BeLVLBS),001351239LBS01-Aleph,a4360452^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913512390101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913512390101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aSprokkels.,^$0$0$aSprokkels.,Sprokkels.,,,,,,,^$ $ $aPuurs$ $ $bDavidsfonds$ $ $31981-2015,^,aPuurs,aPuurs,aPuurs,aPuurs,Puurs,,,bDavidsfonds,Davidsfonds,c[1981]-[2015],,[1981]-[2015],,,,,,,,,^,aBimonthly,bverschijnt niet in juli en augustus,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1981-2015,,c1981-2015,c1981-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201503,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Puurs$ $ $4oth,,,,,,,,,,,,,,^$ $ $aPublicatie stopgezet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00700nas  2200229u  4500,700,nas,  2200229u  4500,9913513170101480,99135131,70101480,920713c19839999be qr|p||     0|||a|dut c,920713,c,1983,9999,be, qr|p||     0|||a|du, qr|p||     0|||a|,du,^$ $ $a(BeLVLBS)001351317LBS01-Aleph^$ $ $a4360943^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913513170101471,a(BeLVLBS)001351317LBS01-Aleph^,a(BeLVLBS),001351317LBS01-Aleph,a4360943^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913513170101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913513170101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aUit liefde tot Jezus!,^$0$0$aUit liefde tot Jezus!,Uit liefde tot Jezus!,,,,,,,^$ $ $aSint-Niklaas$ $ $bProvidentia$ $ $c[1983]-?,^,aSint-Niklaas,aSint-Niklaas,aSint-Niklaas,aSint-Niklaas,Sint-Niklaas,,,bProvidentia,Providentia,c[1983]-?,,[1983]-?,,,,,,,,,^,aQuarterly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201507$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,^$2$ $aProvidentia$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00607nas  2200193u  4500,607,nas,  2200193u  4500,9913515000101480,99135150,101480,920714d19831989be mr|p||     0|||a|dut c,920714,d,1983,1989,be, mr|p||     0|||a|du, mr|p||     0|||a|,du,^$ $ $a(BeLVLBS)001351500LBS01-Aleph^$ $ $a4362041^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913515000101471,a(BeLVLBS)001351500LBS01-Aleph^,a(BeLVLBS),001351500LBS01-Aleph,a4362041^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913515000101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913515000101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$4$aHet internationale leven : informatienota over de acties van het ACV en het ACW.,^$0$4$aHet internationale leven : informatienota over de acties van het ACV en het ACW.,Het internationale leven : informatienota over de acties van het ACV en het ACW.,,,,,,,^$ $ $aBrussel$ $ $bACV$ $ $c[1983]-[1989],^,aBrussel,aBrussel,aBrussel,aBrussel,Brussel,,,bACV,ACV,c[1983]-[1989],,[1983]-[1989],,,,,,,,,^,aMonthly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,,^$2$ $aACV$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00509nas  2200169u  4500,509,nas,  2200169u  4500,9913515140101480,99135151,40101480,920714d19831989be mr|p||     0|||a|dut c,920714,d,1983,1989,be, mr|p||     0|||a|du, mr|p||     0|||a|,du,^$ $ $a(BeLVLBS)001351514LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913515140101471$ $ $bLanguage of cataloging varies$ $ $erda based,a(BeLVLBS)001351514LBS01-Aleph^,a(BeLVLBS),001351514LBS01-Aleph,a(EXLNZ-32KUL_LIBIS_NETWORK)9913515140101471,bLanguage of cataloging varies,,Language of cataloging varies,erda based,,,,,^$0$0$aIOC-nieuwsbrief.,^$0$0$aIOC-nieuwsbrief.,IOC-nieuwsbrief.,,,,,,,^$ $ $aHasselt$ $ $bInternationaal Ontmoetingscentrum$ $ $c[1982]-[1983],^,aHasselt,aHasselt,aHasselt,aHasselt,Hasselt,,,bInternationaal Ontmoetingscentrum,Internationaal Ontmoetingscentrum,c[1982]-[1983],,[1982]-[1983],,,,,,,,,^,aOther,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00563nas  2200193u  4500,563,nas,  2200193u  4500,9913515160101480,99135151,60101480,920714d19821986be br|p||     0|||a|dut c,920714,d,1982,1986,be, br|p||     0|||a|du, br|p||     0|||a|,du,^$ $ $a(BeLVLBS)001351516LBS01-Aleph^$ $ $a4362148^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913515160101471,a(BeLVLBS)001351516LBS01-Aleph^,a(BeLVLBS),001351516LBS01-Aleph,a4362148^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913515160101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913515160101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aIPA-berichten.,^$0$0$aIPA-berichten.,IPA-berichten.,,,,,,,^$ $ $aTurnhout$ $ $bACV$ $ $c[1982]-[1986],^,aTurnhout,aTurnhout,aTurnhout,aTurnhout,Turnhout,,,bACV,ACV,c[1982]-[1986],,[1982]-[1986],,,,,,,,,^,aBimonthly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,,^$2$ $aACV. Verbond Turnhout.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00631nas  2200193u  4500,631,nas,  2200193u  4500,9913548270101480,99135482,70101480,920804q19821988be ur|p||     0|||a|dut c,920804,q,1982,1988,be, ur|p||     0|||a|du, ur|p||     0|||a|,du,^$ $ $a(BeLVLBS)001354827LBS01-Aleph^$ $ $a4381529^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913548270101471,a(BeLVLBS)001354827LBS01-Aleph^,a(BeLVLBS),001354827LBS01-Aleph,a4381529^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913548270101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913548270101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$4$aHet leger van Maria.,^$0$4$aHet leger van Maria.,Het leger van Maria.,,,,,,,^$ $ $aMarquain$ $ $bFamilie van de zonen en dochters van Maria$ $ $c[1982]-[1988],^,aMarquain,aMarquain,aMarquain,aMarquain,Marquain,,,bFamilie van de zonen en dochters van Maria,Familie van de zonen en dochters van Maria,c[1982]-[1988],,[1982]-[1988],,,,,,,,,^,aUnknown,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,,^$2$ $aFamilie van de zonen en de dochters van Maria$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00591nas  2200205u  4500,591,nas,  2200205u  4500,9913563370101480,99135633,70101480,920811q19851999be mr|p||     0|||a|dut c,920811,q,1985,1999,be, mr|p||     0|||a|du, mr|p||     0|||a|,du,^$ $ $a(BeLVLBS)001356337LBS01-Aleph^$ $ $a4388818^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9913563370101471,a(BeLVLBS)001356337LBS01-Aleph^,a(BeLVLBS),001356337LBS01-Aleph,a4388818^,a(EXLNZ-32KUL_LIBIS_NETWORK)9913563370101471,a(EXLNZ-32KUL_LIBIS_NETWORK)9913563370101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aKAV-informatief.,^$0$0$aKAV-informatief.,KAV-informatief.,,,,,,,^$ $ $aHasselt$ $ $bKAV. Limburg$ $ $c[1985]-[1999],^,aHasselt,aHasselt,aHasselt,aHasselt,Hasselt,,,bKAV. Limburg,KAV. Limburg,c[1985]-[1999],,[1985]-[1999],,,,,,,,,^,aMonthly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.an,,^$2$ $aKAV. Limburg$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
